"";"created_at";"screen_name";"text"
"62";2019-08-22 02:24:39;"EraPrabow";"Ketersediaan data merupakan syarat wajib dan sebagai dasar pengentrian data pada Pendataan Pokok Pendidikan. 
#Dapodik2020
#SDMUnggul https://t.co/tUNgk6pscn"
"63";2019-08-22 02:23:58;"komangfuture";"Ayo semangat selalu utk #SDMUnggul #IndonesiaMaju https://t.co/ssLjwhY3SH"
"64";2019-08-21 04:54:23;"dodi_ahmad07";"Yuk meriahkan Agustusan bersama #SobatDesa!

Silakan registrasi di formulir online melalui link: https://t.co/LqzRusk1FE

#SDMUnggul 
#IndonesiaMaju 
#74thIndonesia https://t.co/at9Gk9ehGc"
"65";2019-08-22 02:22:56;"dodi_ahmad07";"Stop kekerasan!!! Kita semua bersaudara satu Indonesia, Papua selamanya Indonesia <U+0001F60E><U+0001F482> #74thIndonesia #SDMUnggul #IndonesiaMaju #WeLovePapua https://t.co/eucB75sIDi"
"66";2019-08-22 02:14:27;"Bersih_Gading";"Penambahan kompos di Dipo RW 05 Kelapa Gading Barat
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading 
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan https://t.co/dvv6QZLkWj"
"67";2019-08-22 02:15:31;"Bersih_Gading";"Giat angkut sampah RW 09 Kelapa Gading Timur
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading https://t.co/8guofyaqJO"
"68";2019-08-22 02:18:53;"Bersih_Gading";"Giat angkut sampah RW 15 Pegangsaan Dua
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading https://t.co/xt2r5Pa4yB"
"69";2019-08-21 01:17:06;"Bersih_Gading";"Giat angkut sampah Bak pinggir kali RW 04 Kelapa Gading Barat
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading https://t.co/nOWCrm36oF"
"70";2019-08-22 02:13:01;"Bersih_Gading";"Giat angkut sampah RW 07 Kelapa Gading Barat
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading https://t.co/6wcnmdbEAB"
"71";2019-08-21 01:25:45;"Bersih_Gading";"Giat angkut sampah RW 11 Kelapa Gading Barat
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading https://t.co/A3UuLFQ3hS"
"72";2019-08-22 02:17:53;"Bersih_Gading";"Giat angkut sampah jl.Perintis Kemerdekaan #dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading 
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan https://t.co/5jekUmYTLa"
"73";2019-08-21 01:24:18;"Bersih_Gading";"Giat angkut sampah pool gerobak RW 02 Kelapa Gading Timur
#dlhjakartautara 
#dlhkelapagading 
#dinaslhdki 
#kelapagading 
#dirgahayuRI74 
#sdmunggul
#Indonesiamaju
#pedulilingkungan https://t.co/VkWEFeENje"
"74";2019-08-22 02:17:27;"Syamsud41732201";"TNI peduli dan mengabdi setiap saat untuk Papua, salah satunya dengan mengevakuasi korban bencana banjir di Sentani <U+0001F60E><U+0001F482> #TNIPeduli #WeLovePapua #PapuaIndonesia #IndonesiaMaju #SDMUnggul https://t.co/A3j07npKnW"
"75";2019-08-22 02:15:35;"Syamsud41732201";"Indonesia Armed Forces always support and protect all the citizens of NKRI, and give their loyalty to keep the red and white flag flying high<U+0001F60E><U+0001F482> #WeLovePapua #SDMUnggul #IndonesiaMaju https://t.co/nZt6h9ZHPi"
"76";2019-08-21 11:05:34;"intansavhyraa";"Hi drg. Romi Syofpa Ismael. Welcome aboard to the fleet of #CPNS2018 Pemkab Solok Selatan. Soon, very soon.

We are all proud of you <U+0001F44F><U+0001F60D><U+0001F496><U+0001F1EE><U+0001F1E9>

#SDMUnggul
#IndonesiaMaju
#ReformasiBirokrasiBKN 
#BKNSemangatUntukNegeri"
